Carpet,001,Texture,064,colored,023,soft,063,luxurious,045,persian,051,silken,059,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Stars,013,Red Giant,049,glittering,033,luminous,044,stellar,065,sparkling,064,celestrial,016,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Stars,013,White Dwarf,068,glittering,033,luminous,044,stellar,065,sparkling,064,celestrial,016,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Stars,013,Red Dwarf,052,glittering,033,luminous,044,stellar,065,sparkling,064,celestrial,016,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Stars,013,Brown Dwarf,007,glittering,033,luminous,044,stellar,065,sparkling,064,celestrial,016,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Stars,013,Blue Giant,006,glittering,033,luminous,044,stellar,065,sparkling,064,celestrial,016,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Stars,013,Red Supergiant,050,glittering,033,luminous,044,stellar,065,sparkling,064,celestrial,016,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Sky,011,Sky ,058,calm,014,cloudy,021,vibrant,069,blissful,004,,,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Copper,004,Copper ,015,polished,053,brushed,010,oxidized,049,burnished,012,chestnut,018,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
Leather,007,Leather ,033,black,003,soft,063,brown,008,white,072,dark,025,Abstract Expressionism,001,Art Deco,002,Color Field,003,Conceptual,004,Constructivism,005,Cubism,006,Digital,007,Expressionalism,008,Fauvism,009,Futurism,010,Impressionalism,011,Installation,012,Minimalism,013,Neoclassicism,014,Optical Art,015,Precionism,016,Renaissance,017,Rococo,018,Surrealism,019,Symbolism,020
